"wood_fuel_cost","year","industrial_rw_cost"
"0","2015","0"
"0","2016","0"
"0","2017","0"
"478.61600000000016","2018","1390.2039999999997"
"488.37600000000003","2019","1404.5280000000002"
"450.21027082800015","2020","1316.084699592"
"568.3889601359999","2021","2290.164253532"
"814.3200000000002","2022","2823.3239999999996"
"911.826629604","2023","2649.32339576"
"906.4479999999999","2024","2887.8001123599997"
